area ratio,intersection ratio,area scanned,area est,curvature est
1/6,1/6,0.75040,0.78540,0.95544
1/6,1/4,0.72110,0.78540,0.91813
1/6,1/3,0.73160,0.78540,0.93150
1/6,1/2,0.76360,0.78540,0.97225
1/6,2/3,0.76360,0.78540,0.97225
1/6,5/6,0.76360,0.78540,0.97225
1/6,1,0.76370,0.78540,0.97237
1/4,1/6,1.13450,1.17810,0.96300
1/4,1/4,1.63690,1.76715,0.92630
1/4,1/3,1.58900,1.76715,0.89919
1/4,1/2,1.68520,1.76715,0.95363
1/4,2/3,1.68520,1.76715,0.95363
1/4,5/6,1.68520,1.76715,0.95363
1/4,1,1.68520,1.76715,0.95363
1/3,1/6,1.39580,1.57080,0.88860
1/3,1/4,2.25250,2.35619,0.95599
1/3,1/3,2.85940,3.14159,0.91018
1/3,1/2,2.96200,3.14159,0.94283
1/3,2/3,2.98020,3.14159,0.94863
1/3,5/6,2.98020,3.14159,0.94863
1/3,1,2.99680,3.14159,0.95391
1/2,1/6,1.71630,2.35619,0.72842
1/2,1/4,2.98060,3.53429,0.84334
1/2,1/3,4.26800,4.71239,0.90570
1/2,1/2,6.52200,7.06858,0.92267
1/2,2/3,6.59580,7.06858,0.93311
1/2,5/6,6.64800,7.06858,0.94050
1/2,1,6.56300,7.06858,0.92847
2/3,1/6,1.91720,3.14159,0.61026
2/3,1/4,3.42220,4.71239,0.72621
2/3,1/3,5.10150,6.28319,0.81193
2/3,1/2,8.68590,9.42478,0.92160
2/3,2/3,11.74180,12.56637,0.93438
2/3,5/6,11.78360,12.56637,0.93771
2/3,1,11.61580,12.56637,0.92436
5/6,1/6,2.06340,3.92700,0.52544
5/6,1/4,3.70340,5.89049,0.62871
5/6,1/3,5.60620,7.85398,0.71380
5/6,1/2,9.96480,11.78097,0.84584
5/6,2/3,14.47620,15.70796,0.92158
5/6,5/6,18.26960,19.63495,0.93046
5/6,1,18.00020,19.63495,0.91674
1,1/6,2.20500,4.71239,0.46792
1,1/4,3.97900,7.06858,0.56291
1,1/3,6.03040,9.42478,0.63985
1,1/2,10.78960,14.13717,0.76321
1,2/3,15.86900,18.84956,0.84188
1,5/6,20.87190,23.56194,0.88583
1,1,25.79290,28.27433,0.91224
